method,run,time,num_of_calls,fx
Ours,1,0.16195230400012406,202,1.337260937624589
Ours,2,0.259098473999984,202,1.337260937624589
Ours,3,0.36684790000003886,202,1.337260937624589
Ours,4,0.35983038999984274,202,1.337260937624589
Ours,5,0.369522384999982,202,1.337260937624589
Ours,6,0.3634564380001848,202,1.337260937624589
Ours,7,0.3670433969998612,202,1.337260937624589
Ours,8,0.2962551180000901,202,1.337260937624589
Ours,9,0.32015319900006034,202,1.337260937624589
Ours,10,0.3627536199999213,202,1.337260937624589
Ours,11,0.36873632400011047,202,1.337260937624589
Ours,12,0.36261302199977763,202,1.337260937624589
Ours,13,0.36757436899983986,202,1.337260937624589
Ours,14,0.3632460709998213,202,1.337260937624589
Ours,15,0.3670452720000412,202,1.337260937624589
Ours,16,0.36033697499988193,202,1.337260937624589
Ours,17,0.3150422349999644,202,1.337260937624589
Ours,18,0.19402419100015322,202,1.337260937624589
Ours,19,0.1619892759999857,202,1.337260937624589
Ours,20,0.15948493399992003,202,1.337260937624589
Ours,21,0.28022666199990454,202,1.337260937624589
Ours,22,0.3620316220001314,202,1.337260937624589
Ours,23,0.3650936530000308,202,1.337260937624589
Ours,24,0.362332164999998,202,1.337260937624589
Ours,25,0.3678477649998513,202,1.337260937624589
Ours,26,0.36060453300001427,202,1.337260937624589
Ours,27,0.3684888959999171,202,1.337260937624589
Ours,28,0.36000578900006985,202,1.337260937624589
Ours,29,0.3677246949998789,202,1.337260937624589
Ours,30,0.2568638400000509,202,1.337260937624589
Ours,31,0.2765036289999898,202,1.337260937624589
Ours,32,0.3310588970000481,202,1.337260937624589
Ours,33,0.36807434899992586,202,1.337260937624589
Ours,34,0.36272177300020303,202,1.337260937624589
Ours,35,0.3562130109999089,202,1.337260937624589
Ours,36,0.3634831890001351,202,1.337260937624589
Ours,37,0.3691979499999434,202,1.337260937624589
Ours,38,0.36278483099999903,202,1.337260937624589
Ours,39,0.3660179060000246,202,1.337260937624589
Ours,40,0.3391040270000758,202,1.337260937624589
Ours,41,0.16174032000003535,202,1.337260937624589
Ours,42,0.15908696099995723,202,1.337260937624589
Ours,43,0.161514335999982,202,1.337260937624589
Ours,44,0.3291921740001271,202,1.337260937624589
Ours,45,0.3666436959999828,202,1.337260937624589
Ours,46,0.33552855099992485,202,1.337260937624589
Ours,47,0.3661583000000519,202,1.337260937624589
Ours,48,0.30793310600006407,202,1.337260937624589
Ours,49,0.3681002670000453,202,1.337260937624589
Ours,50,0.3482547399999021,202,1.337260937624589
Ours,51,0.3667375180000363,202,1.337260937624589
Ours,52,0.3631126669999958,202,1.337260937624589
Ours,53,0.2909889499999281,202,1.337260937624589
Ours,54,0.31395609799983504,202,1.337260937624589
Ours,55,0.3181529500000124,202,1.337260937624589
Ours,56,0.30960223599981873,202,1.337260937624589
Ours,57,0.2830183149999357,202,1.337260937624589
Ours,58,0.36230910200015387,202,1.337260937624589
Ours,59,0.368260034000059,202,1.337260937624589
Ours,60,0.3640469959998427,202,1.337260937624589
Ours,61,0.3651710260000982,202,1.337260937624589
Ours,62,0.35902956299992184,202,1.337260937624589
Ours,63,0.36873831200000495,202,1.337260937624589
Ours,64,0.27624224500004857,202,1.337260937624589
Ours,65,0.36941227300007995,202,1.337260937624589
Ours,66,0.3421325540000453,202,1.337260937624589
Ours,67,0.3535036369999034,202,1.337260937624589
Ours,68,0.35937692299989976,202,1.337260937624589
Ours,69,0.36808119299985265,202,1.337260937624589
Ours,70,0.2014466820000962,202,1.337260937624589
Ours,71,0.3087412330000916,202,1.337260937624589
Ours,72,0.3620620560000134,202,1.337260937624589
Ours,73,0.36784115900013603,202,1.337260937624589
Ours,74,0.34962654600008136,202,1.337260937624589
Ours,75,0.22811688899992077,202,1.337260937624589
Ours,76,0.3440678580000167,202,1.337260937624589
Ours,77,0.3680328620000637,202,1.337260937624589
Ours,78,0.361120604000007,202,1.337260937624589
Ours,79,0.36817119300008017,202,1.337260937624589
Ours,80,0.3620009339999797,202,1.337260937624589
Ours,81,0.3694135289999849,202,1.337260937624589
Ours,82,0.3630958119999832,202,1.337260937624589
Ours,83,0.3532450949999202,202,1.337260937624589
Ours,84,0.36046329900000273,202,1.337260937624589
Ours,85,0.36803101300006347,202,1.337260937624589
Ours,86,0.1719989319999513,202,1.337260937624589
Ours,87,0.3258138119999785,202,1.337260937624589
Ours,88,0.36213598800009095,202,1.337260937624589
Ours,89,0.36897916699990674,202,1.337260937624589
Ours,90,0.3628177030000188,202,1.337260937624589
Ours,91,0.33315826099988044,202,1.337260937624589
Ours,92,0.19988321800019548,202,1.337260937624589
Ours,93,0.16180993299985857,202,1.337260937624589
Ours,94,0.30598067699997955,202,1.337260937624589
Ours,95,0.2723763819999476,202,1.337260937624589
Ours,96,0.3596192740001243,202,1.337260937624589
Ours,97,0.3177152149999074,202,1.337260937624589
Ours,98,0.3003376310000476,202,1.337260937624589
Ours,99,0.3682176190000064,202,1.337260937624589
Ours,100,0.3629393960000016,202,1.337260937624589
Ours-MS,1,0.3814115310001398,202,1.337325130248057
Ours-MS,2,0.38114969299999757,202,1.337325130248057
Ours-MS,3,0.3812228239999058,202,1.337325130248057
Ours-MS,4,0.38333532599995124,202,1.337325130248057
Ours-MS,5,0.35303352899995843,202,1.337325130248057
Ours-MS,6,0.3815530530000615,202,1.337325130248057
Ours-MS,7,0.3792656050000005,202,1.337325130248057
Ours-MS,8,0.2859824380000191,202,1.337325130248057
Ours-MS,9,0.3074256089998926,202,1.337325130248057
Ours-MS,10,0.2390413630000694,202,1.337325130248057
Ours-MS,11,0.3154453750000812,202,1.337325130248057
Ours-MS,12,0.3216894259999208,202,1.337325130248057
Ours-MS,13,0.38194940400012456,202,1.337325130248057
Ours-MS,14,0.3854899770001339,202,1.337325130248057
Ours-MS,15,0.2738316529998883,202,1.337325130248057
Ours-MS,16,0.37530129099991427,202,1.337325130248057
Ours-MS,17,0.3876730479998969,202,1.337325130248057
Ours-MS,18,0.3807428439999967,202,1.337325130248057
Ours-MS,19,0.3819218419998833,202,1.337325130248057
Ours-MS,20,0.3523218560001169,202,1.337325130248057
Ours-MS,21,0.3797575080000115,202,1.337325130248057
Ours-MS,22,0.3739798920000794,202,1.337325130248057
Ours-MS,23,0.21086214000001746,202,1.337325130248057
Ours-MS,24,0.3803849370001444,202,1.337325130248057
Ours-MS,25,0.3826113009999972,202,1.337325130248057
Ours-MS,26,0.3855568690000837,202,1.337325130248057
Ours-MS,27,0.24425471700010348,202,1.337325130248057
Ours-MS,28,0.36979710300010993,202,1.337325130248057
Ours-MS,29,0.3474260120001418,202,1.337325130248057
Ours-MS,30,0.37999987099988175,202,1.337325130248057
Ours-MS,31,0.37346511099985946,202,1.337325130248057
Ours-MS,32,0.16658624899991992,202,1.337325130248057
Ours-MS,33,0.1663926790001824,202,1.337325130248057
Ours-MS,34,0.1691853039999387,202,1.337325130248057
Ours-MS,35,0.30179980399998385,202,1.337325130248057
Ours-MS,36,0.3234688479999477,202,1.337325130248057
Ours-MS,37,0.30605107700012013,202,1.337325130248057
Ours-MS,38,0.33801546700010476,202,1.337325130248057
Ours-MS,39,0.38013692499998797,202,1.337325130248057
Ours-MS,40,0.37934969999992063,202,1.337325130248057
Ours-MS,41,0.3789393590000145,202,1.337325130248057
Ours-MS,42,0.30245016200001373,202,1.337325130248057
Ours-MS,43,0.38553304800007027,202,1.337325130248057
Ours-MS,44,0.3330347389999133,202,1.337325130248057
Ours-MS,45,0.16691230100013854,202,1.337325130248057
Ours-MS,46,0.16637659399998483,202,1.337325130248057
Ours-MS,47,0.320399757000132,202,1.337325130248057
Ours-MS,48,0.3860844860000725,202,1.337325130248057
Ours-MS,49,0.3821344929999668,202,1.337325130248057
Ours-MS,50,0.3819398260000071,202,1.337325130248057
Ours-MS,51,0.26882112900011634,202,1.337325130248057
Ours-MS,52,0.26417502200001763,202,1.337325130248057
Ours-MS,53,0.3830428779999693,202,1.337325130248057
Ours-MS,54,0.3223942279998937,202,1.337325130248057
Ours-MS,55,0.37680582500001947,202,1.337325130248057
Ours-MS,56,0.3803623259998403,202,1.337325130248057
Ours-MS,57,0.3804319299999861,202,1.337325130248057
Ours-MS,58,0.3800545219999094,202,1.337325130248057
Ours-MS,59,0.2549745119999898,202,1.337325130248057
Ours-MS,60,0.34932764799987126,202,1.337325130248057
Ours-MS,61,0.38593235500002265,202,1.337325130248057
Ours-MS,62,0.38460129300005974,202,1.337325130248057
Ours-MS,63,0.27755119199991896,202,1.337325130248057
Ours-MS,64,0.16841445999989446,202,1.337325130248057
Ours-MS,65,0.16953344000012294,202,1.337325130248057
Ours-MS,66,0.17192953600010696,202,1.337325130248057
Ours-MS,67,0.16766153000003214,202,1.337325130248057
Ours-MS,68,0.27572927999995045,202,1.337325130248057
Ours-MS,69,0.38362132399993243,202,1.337325130248057
Ours-MS,70,0.3823089469999559,202,1.337325130248057
Ours-MS,71,0.38133028700008254,202,1.337325130248057
Ours-MS,72,0.38454466100006357,202,1.337325130248057
Ours-MS,73,0.3814416440000059,202,1.337325130248057
Ours-MS,74,0.3811834620000809,202,1.337325130248057
Ours-MS,75,0.17423706399995353,202,1.337325130248057
Ours-MS,76,0.31260636399997566,202,1.337325130248057
Ours-MS,77,0.34248990500009313,202,1.337325130248057
Ours-MS,78,0.38080299300008846,202,1.337325130248057
Ours-MS,79,0.38299530899985257,202,1.337325130248057
Ours-MS,80,0.376762423999935,202,1.337325130248057
Ours-MS,81,0.38426212700005635,202,1.337325130248057
Ours-MS,82,0.289073640999959,202,1.337325130248057
Ours-MS,83,0.36126830200009863,202,1.337325130248057
Ours-MS,84,0.38188226400006897,202,1.337325130248057
Ours-MS,85,0.33098477300018203,202,1.337325130248057
Ours-MS,86,0.38135244800014334,202,1.337325130248057
Ours-MS,87,0.38134953400003724,202,1.337325130248057
Ours-MS,88,0.3198380849999012,202,1.337325130248057
Ours-MS,89,0.33513314500009983,202,1.337325130248057
Ours-MS,90,0.24630463099992994,202,1.337325130248057
Ours-MS,91,0.37811451499987925,202,1.337325130248057
Ours-MS,92,0.38240840099979323,202,1.337325130248057
Ours-MS,93,0.3831366639999487,202,1.337325130248057
Ours-MS,94,0.36137581000002683,202,1.337325130248057
Ours-MS,95,0.3808397430000241,202,1.337325130248057
Ours-MS,96,0.37280190600017704,202,1.337325130248057
Ours-MS,97,0.20327298200004407,202,1.337325130248057
Ours-MS,98,0.34266265100018245,202,1.337325130248057
Ours-MS,99,0.38721779000002243,202,1.337325130248057
Ours-MS,100,0.374670672999855,202,1.337325130248057
Ours-SP,1,0.20237706299985803,202,1.337252955654655
Ours-SP,2,0.218192985000087,202,1.337252955654655
Ours-SP,3,0.2207962929999212,202,1.337252955654655
Ours-SP,4,0.24776423599996633,202,1.337252955654655
Ours-SP,5,0.2506329469999855,202,1.337252955654655
Ours-SP,6,0.24807060400007686,202,1.337252955654655
Ours-SP,7,0.25024250899991785,202,1.337252955654655
Ours-SP,8,0.12258760000008806,202,1.337252955654655
Ours-SP,9,0.108827483000141,202,1.337252955654655
Ours-SP,10,0.13667978000012226,202,1.337252955654655
Ours-SP,11,0.2503910039999937,202,1.337252955654655
Ours-SP,12,0.2521921919999386,202,1.337252955654655
Ours-SP,13,0.24905596700000388,202,1.337252955654655
Ours-SP,14,0.24852082200004588,202,1.337252955654655
Ours-SP,15,0.24955640700000004,202,1.337252955654655
Ours-SP,16,0.24900777900006688,202,1.337252955654655
Ours-SP,17,0.2510388260000127,202,1.337252955654655
Ours-SP,18,0.24935184300011315,202,1.337252955654655
Ours-SP,19,0.24698937300013313,202,1.337252955654655
Ours-SP,20,0.2513100940000186,202,1.337252955654655
Ours-SP,21,0.24944877799998721,202,1.337252955654655
Ours-SP,22,0.24849004499992589,202,1.337252955654655
Ours-SP,23,0.22859990999995716,202,1.337252955654655
Ours-SP,24,0.2045003400000951,202,1.337252955654655
Ours-SP,25,0.25352984100004505,202,1.337252955654655
Ours-SP,26,0.2525875310000174,202,1.337252955654655
Ours-SP,27,0.2490617360001579,202,1.337252955654655
Ours-SP,28,0.25331564199996137,202,1.337252955654655
Ours-SP,29,0.25199013199994624,202,1.337252955654655
Ours-SP,30,0.2557771930000854,202,1.337252955654655
Ours-SP,31,0.24913256900003944,202,1.337252955654655
Ours-SP,32,0.22080466700003853,202,1.337252955654655
Ours-SP,33,0.2173284830000739,202,1.337252955654655
Ours-SP,34,0.24239777000002505,202,1.337252955654655
Ours-SP,35,0.25047682500007795,202,1.337252955654655
Ours-SP,36,0.2262809799999559,202,1.337252955654655
Ours-SP,37,0.2367237959999784,202,1.337252955654655
Ours-SP,38,0.25311344600004304,202,1.337252955654655
Ours-SP,39,0.25177425099991524,202,1.337252955654655
Ours-SP,40,0.24906714899998406,202,1.337252955654655
Ours-SP,41,0.246179439999878,202,1.337252955654655
Ours-SP,42,0.25032472099996994,202,1.337252955654655
Ours-SP,43,0.26054456900010337,202,1.337252955654655
Ours-SP,44,0.24800758900005349,202,1.337252955654655
Ours-SP,45,0.23805635799999436,202,1.337252955654655
Ours-SP,46,0.24968423499990422,202,1.337252955654655
Ours-SP,47,0.24729969099985283,202,1.337252955654655
Ours-SP,48,0.25499748100014585,202,1.337252955654655
Ours-SP,49,0.24872190000019145,202,1.337252955654655
Ours-SP,50,0.2485778919999575,202,1.337252955654655
Ours-SP,51,0.2475611029999527,202,1.337252955654655
Ours-SP,52,0.25351372000000083,202,1.337252955654655
